time,value
2024-04-03T16:14:36.392,0.5827
2024-04-03T16:21:21.420,0.5847
2024-04-03T16:31:40.516,0.5849
2024-04-03T16:37:08.296,0.5852
2024-04-03T16:46:10.185,0.585
2024-04-03T16:56:21.179,0.5827
2024-04-03T17:05:31.970,0.5816
2024-04-03T17:10:19.764,0.5819
2024-04-03T17:25:47.499,0.5806
2024-04-03T17:30:42.829,0.578
2024-04-03T17:34:18.250,0.5769
2024-04-03T17:39:22.695,0.5778
2024-04-03T17:47:32.499,0.5805
2024-04-03T17:54:28.061,0.5799
2024-04-03T18:00:55.411,0.5783
2024-04-03T18:07:24.483,0.5773
2024-04-03T18:11:49.701,0.5755
2024-04-03T18:17:23.523,0.576
2024-04-03T18:22:29.345,0.5744
2024-04-03T18:28:01.949,0.5738
2024-04-03T18:36:28.791,0.5763
2024-04-03T18:47:51.587,0.5782
2024-04-03T18:55:17.009,0.58
2024-04-03T19:02:46.172,0.58
2024-04-03T19:15:48.910,0.5766
2024-04-03T19:30:59.177,0.5778
2024-04-03T19:45:31.852,0.5765
2024-04-03T20:02:18.332,0.5759
2024-04-03T20:11:18.494,0.5741
2024-04-03T20:23:15.893,0.575
2024-04-03T20:32:52.828,0.5728
2024-04-03T20:41:05.791,0.5723
2024-04-03T20:45:24.352,0.5721
2024-04-03T20:57:21.710,0.5736
2024-04-03T21:03:38.780,0.5699
2024-04-03T21:05:38.970,0.5689
2024-04-03T21:09:46.302,0.5684
2024-04-03T21:18:13.878,0.5693
2024-04-03T21:30:26.447,0.5719
2024-04-03T21:37:06.171,0.5745
2024-04-03T21:45:39.975,0.5727
2024-04-03T21:55:22.957,0.5753
2024-04-03T22:02:26.873,0.5758
2024-04-03T22:10:19.369,0.5753
2024-04-03T22:20:23.140,0.5736
2024-04-03T22:26:18.247,0.5719
2024-04-03T22:31:51.920,0.5724
2024-04-03T22:39:10.477,0.574
2024-04-03T22:42:30.538,0.5711
2024-04-03T22:43:13.548,0.5719
2024-04-03T22:50:49.962,0.5754
2024-04-03T22:59:42.127,0.5732
2024-04-03T23:09:42.341,0.5732
2024-04-03T23:19:39.343,0.5745
2024-04-03T23:30:18.388,0.5729
2024-04-03T23:37:21.808,0.5729
2024-04-03T23:45:50.061,0.5724
2024-04-03T23:55:06.178,0.5705
2024-04-04T00:00:54.417,0.5688
2024-04-04T00:05:29.823,0.5703
2024-04-04T00:13:40.512,0.5727
2024-04-04T00:18:43.764,0.5726
2024-04-04T00:24:06.367,0.5736
2024-04-04T00:32:40.852,0.5713
2024-04-04T00:41:15.594,0.5725
2024-04-04T00:48:10.445,0.575
2024-04-04T00:54:24.654,0.5759
2024-04-04T01:03:37.874,0.574
2024-04-04T01:14:52.314,0.5759
2024-04-04T01:24:14.335,0.5773
2024-04-04T01:38:02.973,0.575
2024-04-04T01:50:23.415,0.5729
2024-04-04T02:03:14.579,0.5743
2024-04-04T02:15:32.747,0.5744
2024-04-04T02:25:05.041,0.5703
2024-04-04T02:28:33.581,0.5687
2024-04-04T02:31:09.114,0.5669
2024-04-04T02:32:28.404,0.5658
2024-04-04T02:33:46.074,0.5689
2024-04-04T02:38:56.222,0.5704
2024-04-04T02:47:17.781,0.5696
2024-04-04T03:00:00.588,0.5705
